# kappa                   mpcac               sigma_jack                    sigma
0.1550    0.0711057762903166968    0.0004907713702383367    0.0004962892451435616
0.1558    0.0565145328538135400    0.0007192439816137137    0.0004984493931604152
0.1570    0.0351434222109793457    0.0008173437834663781    0.0004895793755605268
