# t                       norm_latt	                t                  norm_cont
   1.46875000000000       2.265431432841444E-003	1.46875    0.0023359724127390958348   
   1.50000000000000       2.265227998188531E-003	1.5    0.0023343062433427380384   
   1.53125000000000       2.264925452655919E-003	1.53125    0.0023326049968446396420   
   1.56250000000000       2.264527713991309E-003	1.5625    0.0023308686733220583618   
   1.59375000000000       2.264038384520049E-003	1.59375    0.0023290972728847833429   
   1.62500000000000       2.263460782567606E-003	1.625    0.0023272907956862800933   
   1.65625000000000       2.262797970203349E-003	1.65625    0.0023254492419377655928   
   1.68750000000000       2.262052777810651E-003	1.6875    0.0023235726119257322194   
   1.71875000000000       2.261227825899612E-003	1.71875    0.0023216609060334746940   
   1.75000000000000       2.260325544536498E-003	1.75    0.0023197141247672021844   
   1.78125000000000       2.259348190682495E-003	1.78125    0.0023177322687873366162   
   1.81250000000000       2.258297863716556E-003	1.8125    0.0023157153389456069306   
   1.84375000000000       2.257176519349963E-003	1.84375    0.0023136633363285466186   
   1.87500000000000       2.255985982139359E-003	1.875    0.0023115762623079877716   
   1.90625000000000       2.254727956758086E-003	1.90625    0.0023094541185991188763   
   1.93750000000000       2.253404038168788E-003	1.9375    0.0023072969073266357398   
   1.96875000000000       2.252015720825641E-003	1.96875    0.0023051046310994656673   
   2.00000000000000       2.250564407013716E-003	2.    0.0023028772930944850354   
   2.03125000000000       2.249051414419243E-003	2.03125    0.0023006148971495806881   
   2.06250000000000       2.247477983012181E-003	2.0625    0.0022983174478663273139   
   2.09375000000000       2.245845281322001E-003	2.09375    0.0022959849507224675176   
   2.12500000000000       2.244154412159609E-003	2.125    0.0022936174121942901936   
   2.15625000000000       2.242406417850350E-003	2.15625    0.0022912148398889076049   
   2.18750000000000       2.240602285024664E-003	2.1875    0.0022887772426863339245   
   2.21875000000000       2.238742949007877E-003	2.21875    0.0022863046308911695056   
   2.25000000000000       2.236829297851252E-003	2.25    0.0022837970163935973955   
   2.28125000000000       2.234862176044222E-003	2.28125    0.0022812544128393030992   
   2.31250000000000       2.232842387920844E-003	2.3125    0.0022786768358078367141   
   2.34375000000000       2.230770700809420E-003	2.34375    0.0022760643029988495566   
   2.37500000000000       2.228647847936333E-003	2.375    0.0022734168344255564131   
   2.40625000000000       2.226474531106354E-003	2.40625    0.0022707344526147004984   
   2.43750000000000       2.224251423185142E-003	2.4375    0.0022680171828122319081   
   2.46875000000000       2.221979170393887E-003	2.46875    0.0022652650531938524059   
   2.50000000000000       2.219658394440644E-003	2.5    0.0022624780950795302552   
   2.53125000000000       2.217289694491466E-003	2.53125    0.0022596563431510487701   
   2.56250000000000       2.214873649003581E-003	2.5625    0.0022567998356716214700   
   2.59375000000000       2.212410817423759E-003	2.59375    0.0022539086147065851569   
   2.62500000000000       2.209901741771662E-003	2.625    0.0022509827263441697788   
   2.65625000000000       2.207346948107327E-003	2.65625    0.0022480222209153403263   
   2.68750000000000       2.204746947897079E-003	2.6875    0.0022450271532117108991   
   2.71875000000000       2.202102239284451E-003	2.71875    0.0022419975827005440242   
   2.75000000000000       2.199413308272174E-003	2.75    0.0022389335737358688004   
   2.78125000000000       2.196680629822637E-003	2.78125    0.0022358351957647789219   
   2.81250000000000       2.193904668879846E-003	2.8125    0.0022327025235280054752   
   2.84375000000000       2.191085881321775E-003	2.84375    0.0022295356372538989717   
   2.87500000000000       2.188224714844961E-003	2.875    0.0022263346228449997103   
   2.90625000000000       2.185321609787582E-003	2.90625    0.0022230995720564245840   
   2.93750000000000       2.182376999891462E-003	2.9375    0.0022198305826653511900   
   2.96875000000000       2.179391313015253E-003	2.96875    0.0022165277586309359069   
   3.00000000000000       2.176364971787575E-003	3.    0.0022131912102440608324   
   3.03125000000000       2.173298394219911E-003	3.03125    0.0022098210542663645044   
   3.06250000000000       2.170191994269227E-003	3.0625    0.0022064174140580725751   
