# t                       norm_latt	                t                  norm_cont
   11.8125000000000       8.997394766139432E-004	11.8125    0.00089501937116434897402   
   11.8437500000000       8.959953236878644E-004	11.8438    0.00089122145746394387273   
   11.8750000000000       8.922618413250745E-004	11.875    0.00088743474699802081629   
   11.9062500000000       8.885390294277037E-004	11.9063    0.00088365923706137389156   
   11.9375000000000       8.848268876728400E-004	11.9375    0.00087989492473171355108   
   11.9687500000000       8.811254155151089E-004	11.9688    0.00087614180687214514566   
   12.0000000000000       8.774346121890172E-004	12.    0.00087239988013358481115   
   12.0312500000000       8.737544767113334E-004	12.0313    0.00086866914095711449929   
   12.0625000000000       8.700850078834285E-004	12.0625    0.00086494958557627790491   
   12.0937500000000       8.664262042935157E-004	12.0938    0.00086124121001931900442   
   12.1250000000000       8.627780643187749E-004	12.125    0.00085754401011136488436   
   12.1562500000000       8.591405861276619E-004	12.1563    0.00085385798147655450206   
   12.1875000000000       8.555137676818689E-004	12.1875    0.00085018311954011498552   
   12.2187500000000       8.518976067384451E-004	12.2188    0.00084651941953038704387   
   12.2500000000000       8.482921008517501E-004	12.25    0.00084286687648080102565   
   12.2812500000000       8.446972473754546E-004	12.2813    0.00083922548523180512777   
   12.3125000000000       8.411130434644318E-004	12.3125    0.00083559524043274722451   
   12.3437500000000       8.375394860766009E-004	12.3438    0.00083197613654371175290   
   12.3750000000000       8.339765719748769E-004	12.375    0.00082836816783731305800   
   12.4062500000000       8.304242977287355E-004	12.4063    0.00082477132840044656982   
   12.4375000000000       8.268826597161217E-004	12.4375    0.00082118561213599915174   
   12.4687500000000       8.233516541251775E-004	12.4688    0.00081761101276451992937   
   12.5000000000000       8.198312769557649E-004	12.5    0.00081404752382585287822   
   12.5312500000000       8.163215240212643E-004	12.5313    0.00081049513868073241821   
   12.5625000000000       8.128223909500482E-004	12.5625    0.00080695385051234323378   
   12.5937500000000       8.093338731870996E-004	12.5938    0.00080342365232784550888   
   12.6250000000000       8.058559659955421E-004	12.625    0.00079990453695986673778   
   12.6562500000000       8.023886644581558E-004	12.6563    0.00079639649706796124427   
   12.6875000000000       7.989319634787931E-004	12.6875    0.00079289952514003851425   
   12.7187500000000       7.954858577838699E-004	12.7188    0.00078941361349376141943   
   12.7500000000000       7.920503419237665E-004	12.75    0.00078593875427791538318   
   12.7812500000000       7.886254102742221E-004	12.7813    0.00078247493947374951324   
   12.8125000000000       7.852110570376340E-004	12.8125    0.00077902216089629070025   
   12.8437500000000       7.818072762444398E-004	12.8438    0.00077558041019563165569   
   12.8750000000000       7.784140617544371E-004	12.875    0.00077214967885819383784   
   12.9062500000000       7.750314072580004E-004	12.9063    0.00076872995820796619003   
   12.9375000000000       7.716593062774625E-004	12.9375    0.00076532123940772059151   
   12.9687500000000       7.682977521681939E-004	12.9688    0.00076192351346020489739   
   13.0000000000000       7.649467381198608E-004	13.    0.00075853677120931442144   
   13.0312500000000       7.616062571577546E-004	13.0313    0.00075516100334124269238   
   13.0625000000000       7.582763021438177E-004	13.0625    0.00075179620038561229240   
   13.0937500000000       7.549568657777734E-004	13.0938    0.00074844235271658656459   
   13.1250000000000       7.516479405984224E-004	13.125    0.00074509945055396295456   
   13.1562500000000       7.483495189846221E-004	13.1563    0.00074176748396424873063   
   13.1875000000000       7.450615931564402E-004	13.1875    0.00073844644286171980612   
   13.2187500000000       7.417841551762199E-004	13.2188    0.00073513631700946336748   
   13.2500000000000       7.385171969496624E-004	13.25    0.00073183709602040499157   
   13.2812500000000       7.352607102268950E-004	13.2813    0.00072854876935832091674   
   13.3125000000000       7.320146866034443E-004	13.3125    0.00072527132633883611262   
   13.3437500000000       7.287791175213362E-004	13.3438    0.00072200475613040877535   
   13.3750000000000       7.255539942700603E-004	13.375    0.00071874904775530185652   
   13.4062500000000       7.223393079875908E-004	13.4063    0.00071550419009054221621   
   13.4375000000000       7.191350496613509E-004	13.4375    0.00071227017186886797311   
   13.4687500000000       7.159412101292039E-004	13.4688    0.00070904698167966460718   
   13.5000000000000       7.127577800803931E-004	13.5    0.00070583460796989035406   
   13.5312500000000       7.095847500565221E-004	13.5313    0.00070263303904499141340   
   13.5625000000000       7.064221104524794E-004	13.5625    0.00069944226306980747751   
   13.5937500000000       7.032698515173514E-004	13.5938    0.00069626226806946807099   
   13.6250000000000       7.001279633553878E-004	13.625    0.00069309304193028017614   
   13.6562500000000       6.969964359268510E-004	13.6563    0.00068993457240060760450   
   13.6875000000000       6.938752590490048E-004	13.6875    0.00068678684709174255945   
   13.7187500000000       6.907644223969333E-004	13.7188    0.00068364985347876982075   
   13.7500000000000       6.876639155044634E-004	13.75    0.00068052357890142396762   
   13.7812500000000       6.845737277650354E-004	13.7813    0.00067740801056494004309   
   13.8125000000000       6.814938484325838E-004	13.8125    0.00067430313554089804892   
   13.8437500000000       6.784242666224309E-004	13.8438    0.00067120894076806164711   
   13.8750000000000       6.753649713120586E-004	13.875    0.00066812541305321143099   
   13.9062500000000       6.723159513420956E-004	13.9063    0.00066505253907197311659   
   13.9375000000000       6.692771954170395E-004	13.9375    0.00066199030536964099212   
   13.9687500000000       6.662486921061952E-004	13.9688    0.00065893869836199695185   
   14.0000000000000       6.632304298444685E-004	14.    0.00065589770433612542852   
   14.0312500000000       6.602223969331889E-004	14.0313    0.00065286730945122452704   
   14.0625000000000       6.572245815410042E-004	14.0625    0.00064984749973941365105   
   14.0937500000000       6.542369717046404E-004	14.0938    0.00064683826110653790279   
   14.1250000000000       6.512595553297335E-004	14.125    0.00064383957933296952612   
   14.1562500000000       6.482923201917036E-004	14.1563    0.00064085144007440665202   
   14.1875000000000       6.453352539365214E-004	14.1875    0.00063787382886266959567   
   14.2187500000000       6.423883440815269E-004	14.2188    0.00063490673110649494424   
   14.2500000000000       6.394515780162290E-004	14.25    0.00063195013209232766486   
   14.2812500000000       6.365249430031742E-004	14.2813    0.00062900401698511145274   
   14.3125000000000       6.336084261786762E-004	14.3125    0.00062606837082907752987   
   14.3437500000000       6.307020145536788E-004	14.3438    0.00062314317854853209632   
   14.3750000000000       6.278056950145297E-004	14.375    0.00062022842494864262665   
   14.4062500000000       6.249194543237588E-004	14.4063    0.00061732409471622319588   
   14.4375000000000       6.220432791209321E-004	14.4375    0.00061443017242051901082   
   14.4687500000000       6.191771559234050E-004	14.4688    0.00061154664251399031462   
   14.5000000000000       6.163210711271358E-004	14.5    0.00060867348933309582415   
   14.5312500000000       6.134750110074657E-004	14.5313    0.00060581069709907585256   
   14.5625000000000       6.106389617199574E-004	14.5625    0.00060295824991873526119   
   14.5937500000000       6.078129093011294E-004	14.5938    0.00060011613178522637842   
   14.6250000000000       6.049968396692853E-004	14.625    0.00059728432657883201514   
   14.6562500000000       6.021907386252821E-004	14.6563    0.00059446281806774870021   
   14.6875000000000       5.993945918533559E-004	14.6875    0.00059165158990887025210   
   14.7187500000000       5.966083849219025E-004	14.7188    0.00058885062564857179645   
   14.7500000000000       5.938321032842309E-004	14.75    0.00058605990872349433297   
   14.7812500000000       5.910657322793943E-004	14.7813    0.00058327942246132994872   
   14.8125000000000       5.883092571330006E-004	14.8125    0.00058050915008160776885   
   14.8437500000000       5.855626629579591E-004	14.8438    0.00057774907469648072988   
   14.8750000000000       5.828259347552779E-004	14.875    0.00057499917931151325519   
   14.9062500000000       5.800990574148704E-004	14.9063    0.00057225944682646990626   
   14.9375000000000       5.773820157163881E-004	14.9375    0.00056952986003610507850   
   14.9687500000000       5.746747943299186E-004	14.9688    0.00056681040163095380458   
   15.0000000000000       5.719773778168776E-004	15.    0.00056410105419812372368   
   15.0312500000000       5.692897506307229E-004	15.0313    0.00056140180022208826966   
   15.0625000000000       5.666118971178351E-004	15.0625    0.00055871262208548112667   
   15.0937500000000       5.639438015182194E-004	15.0938    0.00055603350206989199594   
   15.1250000000000       5.612854479663806E-004	15.125    0.00055336442235666371291   
   15.1562500000000       5.586368204920779E-004	15.1563    0.00055070536502769074969   
   15.1875000000000       5.559979030211381E-004	15.1875    0.00054805631206621913343   
   15.2187500000000       5.533686793762584E-004	15.2188    0.00054541724535764780709   
   15.2500000000000       5.507491332778046E-004	15.25    0.00054278814669033145520   
   15.2812500000000       5.481392483446112E-004	15.2813    0.00054016899775638481330   
   15.3125000000000       5.455390080947647E-004	15.3125    0.00053755978015248847602   
   15.3437500000000       5.429483959464473E-004	15.3438    0.00053496047538069621523   
   15.3750000000000       5.403673952187184E-004	15.375    0.00053237106484924381596   
   15.4062500000000       5.377959891323211E-004	15.4063    0.00052979152987335943481   
   15.4375000000000       5.352341608104903E-004	15.4375    0.00052722185167607548201   
   15.4687500000000       5.326818932797645E-004	15.4688    0.00052466201138904202516   
   15.5000000000000       5.301391694708022E-004	15.5    0.00052211199005334170984   
   15.5312500000000       5.276059722191556E-004	15.5313    0.00051957176862030618911   
   15.5625000000000       5.250822842661378E-004	15.5625    0.00051704132795233405133   
   15.5937500000000       5.225680882596013E-004	15.5938    0.00051452064882371023275   
   15.6250000000000       5.200633667547449E-004	15.625    0.00051200971192142689889   
   15.6562500000000       5.175681022149572E-004	15.6563    0.00050950849784600577611   
   15.6875000000000       5.150822770126099E-004	15.6875    0.00050701698711232191238   
   15.7187500000000       5.126058734298885E-004	15.7188    0.00050453516015042884388   
   15.7500000000000       5.101388736595889E-004	15.75    0.00050206299730638514178   
   15.7812500000000       5.076812598059715E-004	15.7813    0.00049960047884308231145   
   15.8125000000000       5.052330138855510E-004	15.8125    0.00049714758494107401435   
   15.8437500000000       5.027941178279139E-004	15.8438    0.00049470429569940658052   
   15.8750000000000       5.003645534765983E-004	15.875    0.00049227059113645077818   
   15.9062500000000       4.979443025898265E-004	15.9063    0.00048984645119073480465   
   15.9375000000000       4.955333468413978E-004	15.9375    0.00048743185572177846137   
   15.9687500000000       4.931316678215001E-004	15.9688    0.00048502678451092847394   
   16.0000000000000       4.907392470375196E-004	16.    0.00048263121726219491662   
   16.0312500000000       4.883560659148607E-004	16.0313    0.00048024513360308869907   
   16.0625000000000       4.859821057978167E-004	16.0625    0.00047786851308546007185   
   16.0937500000000       4.836173479503601E-004	16.0938    0.00047550133518633810558   
   16.1250000000000       4.812617735569738E-004	16.125    0.00047314357930877109747   
   16.1562500000000       4.789153637234988E-004	16.1563    0.00047079522478266785782   
   16.1875000000000       4.765780994779431E-004	16.1875    0.00046845625086563982746   
   16.2187500000000       4.742499617713354E-004	16.2188    0.00046612663674384397654   
   16.2500000000000       4.719309314785542E-004	16.25    0.00046380636153282643355   
   16.2812500000000       4.696209893991168E-004	16.2813    0.00046149540427836679272   
   16.3125000000000       4.673201162580975E-004	16.3125    0.00045919374395732304690   
   16.3437500000000       4.650282927068676E-004	16.3438    0.00045690135947847709211   
   16.3750000000000       4.627454993240000E-004	16.375    0.00045461822968338074913   
   16.4062500000000       4.604717166160503E-004	16.4063    0.00045234433334720224690   
   16.4375000000000       4.582069250184402E-004	16.4375    0.00045007964917957311138   
   16.4687500000000       4.559511048962449E-004	16.4688    0.00044782415582543540318   
   16.5000000000000       4.537042365450684E-004	16.5    0.00044557783186588924665   
   16.5312500000000       4.514663001918581E-004	16.5313    0.00044334065581904059217   
   16.5625000000000       4.492372759957263E-004	16.5625    0.00044111260614084915336   
   16.5937500000000       4.470171440488231E-004	16.5938    0.00043889366122597645996   
   16.6250000000000       4.448058843771367E-004	16.625    0.00043668379940863396715   
   16.6562500000000       4.426034769413388E-004	16.6563    0.00043448299896343116120   
   16.6875000000000       4.404099016376349E-004	16.6875    0.00043229123810622360139   
   16.7187500000000       4.382251382985865E-004	16.7188    0.00043010849499496083765   
   16.7500000000000       4.360491666939125E-004	16.75    0.00042793474773053414299   
   16.7812500000000       4.338819665314159E-004	16.7813    0.00042576997435762399980   
   16.8125000000000       4.317235174577097E-004	16.8125    0.00042361415286554727865   
   16.8437500000000       4.295737990591286E-004	16.8438    0.00042146726118910404830   
   16.8750000000000       4.274327908625139E-004	16.875    0.00041932927720942395523   
   16.9062500000000       4.253004723360810E-004	16.9063    0.00041720017875481211111   
   16.9375000000000       4.231768228902333E-004	16.9375    0.00041507994360159442655   
   16.9687500000000       4.210618218783968E-004	16.9688    0.00041296854947496232926   
   17.0000000000000       4.189554485978527E-004	17.    0.00041086597404981680511   
   17.0312500000000       4.168576822905667E-004	17.0313    0.00040877219495161170008   
   17.0625000000000       4.147685021440347E-004	17.0625    0.00040668718975719622173   
   17.0937500000000       4.126878872920681E-004	17.0938    0.00040461093599565657852   
   17.1250000000000       4.106158168156841E-004	17.125    0.00040254341114915669554   
   17.1562500000000       4.085522697438798E-004	17.1563    0.00040048459265377794533   
   17.1875000000000       4.064972250544762E-004	17.1875    0.00039843445790035783280   
   17.2187500000000       4.044506616749633E-004	17.2188    0.00039639298423532757317   
   17.2500000000000       4.024125584832998E-004	17.25    0.00039436014896154850224   
   17.2812500000000       4.003828943087304E-004	17.2813    0.00039233592933914725869   
   17.3125000000000       3.983616479326439E-004	17.3125    0.00039032030258634967790   
   17.3437500000000       3.963487980893535E-004	17.3438    0.00038831324588031333768   
   17.3750000000000       3.943443234669485E-004	17.375    0.00038631473635795869611   
   17.4062500000000       3.923482027080909E-004	17.4063    0.00038432475111679876219   
   17.4375000000000       3.903604144108275E-004	17.4375    0.00038234326721576724051   
   17.4687500000000       3.883809371294319E-004	17.4688    0.00038037026167604509123   
   17.5000000000000       3.864097493752103E-004	17.5    0.00037840571148188544718   
   17.5312500000000       3.844468296172879E-004	17.5313    0.00037644959358143683037   
   17.5625000000000       3.824921562834518E-004	17.5625    0.00037450188488756461046   
   17.5937500000000       3.805457077609450E-004	17.5938    0.00037256256227867064827   
   17.6250000000000       3.786074623972598E-004	17.625    0.00037063160259951106782   
   17.6562500000000       3.766773985009895E-004	17.6563    0.00036870898266201210089   
   17.6875000000000       3.747554943425735E-004	17.6875    0.00036679467924608394851   
   17.7187500000000       3.728417281551458E-004	17.7188    0.00036488866910043260437   
   17.7500000000000       3.709360781353014E-004	17.75    0.00036299092894336958550   
   17.7812500000000       3.690385224439278E-004	17.7813    0.00036110143546361951626   
   17.8125000000000       3.671490392069579E-004	17.8125    0.00035922016532112551209   
   17.8437500000000       3.652676065162186E-004	17.8438    0.00035734709514785231000   
   17.8750000000000       3.633942024301655E-004	17.875    0.00035548220154858709346   
   17.9062500000000       3.615288049747264E-004	17.9063    0.00035362546110173795971   
   17.9375000000000       3.596713921440320E-004	17.9375    0.00035177685036012997833   
   17.9687500000000       3.578219419012530E-004	17.9688    0.00034993634585179879022   
   18.0000000000000       3.559804321793596E-004	18.    0.00034810392408078169694   
   18.0312500000000       3.541468408818971E-004	18.0313    0.00034627956152790619083   
   18.0625000000000       3.523211458837683E-004	18.0625    0.00034446323465157587707   
   18.0937500000000       3.505033250320217E-004	18.0938    0.00034265491988855373923   
   18.1250000000000       3.486933561466071E-004	18.125    0.00034085459365474270073   
   18.1562500000000       3.468912170211579E-004	18.1563    0.00033906223234596343510   
   18.1875000000000       3.450968854237501E-004	18.1875    0.00033727781233872937860   
   18.2187500000000       3.433103390976822E-004	18.2188    0.00033550130999101889935   
   18.2500000000000       3.415315557622192E-004	18.25    0.00033373270164304457797   
   18.2812500000000       3.397605131133652E-004	18.2813    0.00033197196361801955501   
   18.3125000000000       3.379971888246234E-004	18.3125    0.00033021907222292090150   
   18.3437500000000       3.362415605477354E-004	18.3438    0.00032847400374924996932   
   18.3750000000000       3.344936059134547E-004	18.375    0.00032673673447378967888   
   18.4062500000000       3.327533025322750E-004	18.4063    0.00032500724065935870224   
   18.4375000000000       3.310206279951861E-004	18.4375    0.00032328549855556250052   
   18.4687500000000       3.292955598744196E-004	18.4688    0.00032157148439954117493   
   18.5000000000000       3.275780757241811E-004	18.5    0.00031986517441671409173   
   18.5312500000000       3.258681530813972E-004	18.5313    0.00031816654482152124181   
   18.5625000000000       3.241657694664414E-004	18.5625    0.00031647557181816129654   
   18.5937500000000       3.224709023838590E-004	18.5938    0.00031479223160132632180   
   18.6250000000000       3.207835293231206E-004	18.625    0.00031311650035693311338   
   18.6562500000000       3.191036277593133E-004	18.6563    0.00031144835426285111705   
   18.6875000000000       3.174311751538882E-004	18.6875    0.00030978776948962689761   
   18.7187500000000       3.157661489553657E-004	18.7188    0.00030813472220120512184   
   18.7500000000000       3.141085266000550E-004	18.75    0.00030648918855564602091   
   18.7812500000000       3.124582855127568E-004	18.7813    0.00030485114470583929860   
   18.8125000000000       3.108154031074879E-004	18.8125    0.00030322056680021445214   
   18.8437500000000       3.091798567881767E-004	18.8438    0.00030159743098344747352   
   18.8750000000000       3.075516239493641E-004	18.875    0.00029998171339716389944   
   18.9062500000000       3.059306819768917E-004	18.9063    0.00029837339018063817899   
   18.9375000000000       3.043170082486301E-004	18.9375    0.00029677243747148932876   
   18.9687500000000       3.027105801351226E-004	18.9688    0.00029517883140637284567   
   19.0000000000000       3.011113750003181E-004	19.    0.00029359254812166884875   
   19.0312500000000       2.995193702022185E-004	19.0313    0.00029201356375416642139   
   19.0625000000000       2.979345430935984E-004	19.0625    0.00029044185444174412662   
   19.0937500000000       2.963568710226263E-004	19.0938    0.00028887739632404666851   
   19.1250000000000       2.947863313335930E-004	19.125    0.00028732016554315767331   
   19.1562500000000       2.932229013675632E-004	19.1563    0.00028577013824426856493   
   19.1875000000000       2.916665584630254E-004	19.1875    0.00028422729057634350966   
   19.2187500000000       2.901172799565631E-004	19.2188    0.00028269159869278040615   
   19.2500000000000       2.885750431835289E-004	19.25    0.00028116303875206789674   
   19.2812500000000       2.870398254786799E-004	19.2813    0.00027964158691843837756   
   19.3125000000000       2.855116041768309E-004	19.3125    0.00027812721936251698481   
   19.3437500000000       2.839903566135204E-004	19.3438    0.00027661991226196653593   
   19.3750000000000       2.824760601256241E-004	19.375    0.00027511964180212840440   
   19.4062500000000       2.809686920520209E-004	19.4063    0.00027362638417665930802   
   19.4375000000000       2.794682297342116E-004	19.4375    0.00027214011558816399104   
   19.4687500000000       2.779746505169646E-004	19.4688    0.00027066081224882378091   
   19.5000000000000       2.764879317489302E-004	19.5    0.00026918845038102100143   
   19.5312500000000       2.750080507832720E-004	19.5313    0.00026772300621795922445   
   19.5625000000000       2.735349849782926E-004	19.5625    0.00026626445600427934300   
   19.5937500000000       2.720687116980305E-004	19.5938    0.00026481277599667144927   
   19.6250000000000       2.706092083129031E-004	19.625    0.00026336794246448250163   
   19.6562500000000       2.691564522002799E-004	19.6563    0.00026192993169031976538   
   19.6875000000000       2.677104207451121E-004	19.6875    0.00026049871997065001244   
   19.7187500000000       2.662710913405228E-004	19.7188    0.00025907428361639446609   
   19.7500000000000       2.648384413884076E-004	19.75    0.00025765659895351947712   
   19.7812500000000       2.634124483000247E-004	19.7813    0.00025624564232362291864   
   19.8125000000000       2.619930894965738E-004	19.8125    0.00025484139008451628716   
   19.8437500000000       2.605803424098023E-004	19.8438    0.00025344381861080249834   
   19.8750000000000       2.591741844825665E-004	19.875    0.00025205290429444936619   
   19.9062500000000       2.577745931694042E-004	19.9063    0.00025066862354535875529   
   19.9375000000000       2.563815459371279E-004	19.9375    0.00024929095279193139597   
   19.9687500000000       2.549950202653742E-004	19.9688    0.00024791986848162735307   
   20.0000000000000       2.536149936471803E-004	20.    0.00024655534708152213947   
