# t                  norm_latt             t                  norm_cont
  0.00000000              0.0000000000000000000	        0.00000000    0.00237471524161729
  3.125000000000000E-002  1.762636394092456E-004	0.03125   0.0023746192273567627054   
  6.250000000000000E-002  5.085167654758928E-004	0.0625   0.0023744980279961069807   
  9.375000000000000E-002  8.454070982730153E-004	0.09375   0.0023742513909914981141   
  0.125000000000000       1.136039931929265E-003	0.125   0.0023738942899838624893   
  0.156250000000000       1.370419330902823E-003	0.15625   0.0023734329903361680612   
  0.187500000000000       1.553576196542355E-003	0.1875   0.0023728688590700332916   
  0.218750000000000       1.694736351527524E-003	0.21875   0.0023722021166614247151   
  0.250000000000000       1.803105110818536E-003	0.25   0.0023714327934534854187   
  0.281250000000000       1.886481641148381E-003	0.28125   0.0023705608932413468177   
  0.312500000000000       1.951019917606544E-003	0.3125   0.0023695864164703237196   
  0.343750000000000       2.001404252534830E-003	0.34375   0.0023685093631903347006   
  0.375000000000000       2.041133822317721E-003	0.375   0.0023673297334067865111   
  0.406250000000000       2.072798594709760E-003	0.40625   0.0023660475271202492844   
  0.437500000000000       2.098309338359315E-003	0.4375   0.0023646627443307818622   
  0.468750000000000       2.119076675881719E-003	0.46875   0.0023631753850383902120   
  0.500000000000000       2.136145551086202E-003	0.5   0.0023615854492430749369   
  0.531250000000000       2.150294222116707E-003	0.53125   0.0023598929369448361740   
  0.562500000000000       2.162106348396564E-003	0.5625   0.0023580978481436745778   
  0.593750000000000       2.172023202077572E-003	0.59375   0.0023562001828395943700   
  0.625000000000000       2.180381416068253E-003	0.625   0.0023541999410326178671   
  0.656250000000000       2.187440293432372E-003	0.65625   0.0023520971227228438358   
  0.687500000000000       2.193401612819466E-003	0.6875   0.0023498917279106473258   
  0.718750000000000       2.198424045594690E-003	0.71875   0.0023475837565972755546   
  0.750000000000000       2.202633700547516E-003	0.75   0.0023451732087864233948   
  0.781250000000000       2.206131879238475E-003	0.78125   0.0023426600844879834824   
  0.812500000000000       2.209000815414606E-003	0.8125   0.0023400443837261868904   
  0.843750000000000       2.211307951394349E-003	0.84375   0.0023373261065558975257   
  0.875000000000000       2.213109147566483E-003	0.875   0.0023345052530929689967   
  0.906250000000000       2.214451109718243E-003	0.90625   0.0023315818235673105505   
  0.937500000000000       2.215373239578252E-003	0.9375   0.0023285558184105322650   
  0.968750000000000       2.215909057396991E-003	0.96875   0.0023254272383935384369   
   1.00000000000000       2.216087304893022E-003	1.   0.0023221960848329143728   
   1.03125000000000       2.215932807822599E-003	1.03125   0.0023188623598880551457   
   1.06250000000000       2.215467156490145E-003	1.0625   0.0023154260669733567149   
   1.09375000000000       2.214709247332109E-003	1.09375   0.0023118872113111093404   
   1.12500000000000       2.213675717686998E-003	1.125   0.0023082458006507569775   
   1.15625000000000       2.212381297794329E-003	1.15625   0.0023045018461787754768   
   1.18750000000000       2.210839098147444E-003	1.1875   0.0023006553636405551224   
   1.21875000000000       2.209060845948809E-003	1.21875   0.0022967063746914422945   
   1.25000000000000       2.207057081170236E-003	1.25   0.0022926549084886940538   
   1.28125000000000       2.204837320306580E-003	1.28125   0.0022885010035297984520   
   1.31250000000000       2.202410194058687E-003	1.3125   0.0022842447097357319268   
   1.34375000000000       2.199783563854650E-003	1.34375   0.0022798860907706034964   
   1.37500000000000       2.196964621024846E-003	1.375   0.0022754252265821083533   
   1.40625000000000       2.193959971674504E-003	1.40625   0.0022708622161405880475   
   1.43750000000000       2.190775709673732E-003	1.4375   0.0022661971803485339857   
   1.46875000000000       2.187417479703803E-003	1.46875   0.0022614302650872841179   
   1.50000000000000       2.183890531934700E-003	1.5   0.0022565616443635984793   
   1.53125000000000       2.180199769604087E-003	1.53125   0.0022515915235158467961   
   1.56250000000000       2.176349790557398E-003	1.5625   0.0022465201424377333878   
   1.59375000000000       2.172344923593547E-003	1.59375   0.0022413477787768036964   
   1.62500000000000       2.168189260357170E-003	1.625   0.0022360747510653635014   
   1.65625000000000       2.163886683354189E-003	1.65625   0.0022307014217428035728   
   1.68750000000000       2.159440890610665E-003	1.6875   0.0022252282000305423259   
   1.71875000000000       2.154855417388552E-003	1.71875   0.0022196555446237444683   
   1.75000000000000       2.150133655328775E-003	1.75   0.0022139839661675042375   
   1.78125000000000       2.145278869325137E-003	1.78125   0.0022082140294891558698   
   1.81250000000000       2.140294212400696E-003	1.8125   0.0022023463555626538327   
   1.84375000000000       2.135182738806448E-003	1.84375   0.0021963816231854218816   
   1.87500000000000       2.129947415555837E-003	1.875   0.0021903205703525854372   
   1.90625000000000       2.124591132553764E-003	1.90625   0.0021841639953179719429   
   1.93750000000000       2.119116711486034E-003	1.9375   0.0021779127573355992288   
   1.96875000000000       2.113526913592519E-003	1.96875   0.0021715677770794980635   
   2.00000000000000       2.107824446449199E-003	2.   0.0021651300367435724296   
   2.03125000000000       2.102011969862785E-003	2.03125   0.0021586005798267442186   
   2.06250000000000       2.096092100969474E-003	2.0625   0.0021519805106118257426   
   2.09375000000000       2.090067418623364E-003	2.09375   0.0021452709933493933528   
   2.12500000000000       2.083940467150394E-003	2.125   0.0021384732511603886773   
   2.15625000000000       2.077713759530799E-003	2.15625   0.0021315885646732497804   
   2.18750000000000       2.071389780076945E-003	2.1875   0.0021246182704130797532   
   2.21875000000000       2.064970986655458E-003	2.21875   0.0021175637589617080016   
   2.25000000000000       2.058459812508524E-003	2.25   0.0021104264729085078783   
   2.28125000000000       2.051858667713633E-003	2.28125   0.0021032079046125251812   
   2.31250000000000       2.045169940328189E-003	2.3125   0.0020959095937968699694   
