#         C             m      sigmaj_m
 1.158952727   0.397759089   0.000064161
 1.132507632   0.391404568   0.000064837
 1.135236050   0.390297800   0.000064522
 1.143992850   0.391227071   0.000057258
 1.148818560   0.391067329   0.000058458
 1.146979910   0.393856300   0.000056181
 1.117975386   0.388547492   0.000079690
 1.141504926   0.395384742   0.000074625
 1.140310758   0.391188712   0.000067927
 1.150947606   0.395605657   0.000058946
 1.149155096   0.394795100   0.000077498
 1.129016155   0.389265441   0.000046798
 1.152486295   0.393896959   0.000063512
 1.139279457   0.392102709   0.000069638
 1.148736860   0.390803935   0.000071932
 1.143594061   0.392286326   0.000071139
 1.126833622   0.391291193   0.000073132
 1.146018922   0.393376663   0.000042225
 1.140892960   0.390535901   0.000068184
 1.156207981   0.395895656   0.000070134
