#         C             m      sigmaj_m
 1.130910671   0.309631658   0.000032734
 1.120917688   0.308148063   0.000030416
 1.119773245   0.302432305   0.000034554
 1.129119718   0.302459853   0.000032873
 1.107559414   0.302612474   0.000043053
 1.107945072   0.308830602   0.000040320
 1.122194650   0.304052488   0.000028125
 1.121749849   0.302920259   0.000030510
 1.115415671   0.303306448   0.000031156
 1.116607831   0.305591013   0.000033644
 1.115715576   0.304739524   0.000034527
 1.120799094   0.303219739   0.000039528
 1.173589771   0.313527708   0.000033961
 1.125923996   0.303205962   0.000029155
 1.116286871   0.303985683   0.000027421
 1.110623363   0.302828169   0.000037706
 1.113794634   0.306888824   0.000036613
 1.136798600   0.307410931   0.000025045
 1.129002657   0.302513747   0.000033370
 1.084572181   0.298076609   0.000038572
