#     mpcac           err
 0.035310253    0.000489579
 0.035396461    0.000489579
 0.035182411    0.000489579
 0.034891635    0.000489579
 0.035010049    0.000489579
 0.035339782    0.000489579
 0.035170428    0.000489579
 0.034990385    0.000489579
 0.034987836    0.000489579
 0.035276171    0.000489579
 0.035117193    0.000489579
 0.034928457    0.000489579
 0.034906325    0.000489579
 0.035275494    0.000489579
 0.034904038    0.000489579
 0.035276730    0.000489579
 0.035399878    0.000489579
 0.035132559    0.000489579
 0.034824656    0.000489579
 0.035154862    0.000489579
