#         C             m      sigmaj_m
 1.329822121   0.414530363   0.000012461
 1.329409026   0.415281164   0.000011737
 1.340799212   0.415259867   0.000014010
 1.323791950   0.414316860   0.000016630
 1.339234885   0.417369411   0.000018482
 1.330110950   0.414302204   0.000015348
 1.323141112   0.412891956   0.000019800
 1.324687628   0.415627462   0.000009607
 1.365011889   0.420560505   0.000008603
 1.339395403   0.416166509   0.000011578
 1.343657241   0.415931358   0.000012472
 1.340797195   0.416878267   0.000021691
 1.335871573   0.416281726   0.000019660
 1.331279445   0.414129721   0.000013370
 1.356474949   0.416182128   0.000013665
 1.338633457   0.415590104   0.000013486
 1.341231849   0.414196541   0.000013539
 1.330222522   0.413799378   0.000014887
 1.324846276   0.415286662   0.000016004
 1.337409998   0.417357984   0.000009841
