#         C             m      sigmaj_m
 1.299669300   0.439151618   0.000029415
 1.291963966   0.438640126   0.000030521
 1.312726119   0.440589807   0.000032379
 1.285622734   0.438260458   0.000039733
 1.321855899   0.444811459   0.000044762
 1.294457243   0.438247673   0.000039257
 1.289964748   0.436912775   0.000046847
 1.281998739   0.438848976   0.000027063
 1.347093501   0.447740895   0.000019305
 1.304683297   0.440769351   0.000028079
 1.313641580   0.440796716   0.000028569
 1.315236011   0.442119882   0.000047241
 1.312204117   0.441807910   0.000042284
 1.305118921   0.439433707   0.000031381
 1.327554997   0.441238687   0.000032139
 1.311392263   0.440743463   0.000032816
 1.311484962   0.438672538   0.000036264
 1.299093202   0.438244764   0.000035829
 1.292354915   0.440989933   0.000036095
 1.308722606   0.442760464   0.000022403
