#     mpcac           err
 0.056723088    0.000498449
 0.056474183    0.000498449
 0.056359100    0.000498449
 0.056374914    0.000498449
 0.056441523    0.000498449
 0.056694360    0.000498449
 0.056407657    0.000498449
 0.056671569    0.000498449
 0.056566641    0.000498449
 0.056698610    0.000498449
 0.056690428    0.000498449
 0.056450555    0.000498449
 0.056588190    0.000498449
 0.056353986    0.000498449
 0.056124211    0.000498449
 0.056475554    0.000498449
 0.056357872    0.000498449
 0.056716837    0.000498449
 0.056502997    0.000498449
 0.056596010    0.000498449
